4207,-1779,1886,-554,6863,514,0,0
3324,-2992,1208,-614,5287,1436,0,0
2604,-3221,556,-812,2869,1343,0,0
2303,-1553,471,-1092,1315,677,0,0
1634,-70,402,-307,343,685,0,0
462,-96,-24,-576,-217,-455,0,0
-178,406,-162,-609,-307,-1272,0,0
-502,664,41,-129,-348,-1640,0,0
-998,-492,183,-322,-604,-3179,0,0
-1030,-1666,-110,-610,-631,-5026,0,0
-699,-3640,-410,-1426,-493,-5464,0,0
-403,637,-698,-861,-454,-5273,0,0
-220,1470,-738,159,-209,-5318,0,0
-44,169,-505,130,-28,-4817,0,0
183,-412,-282,-269,4,-4486,0,0
396,301,-119,-186,-292,-3932,0,0
371,628,-101,-189,-599,-4108,0,0
284,450,-135,-45,-761,-3900,0,0
132,146,-134,-16,-707,-3619,0,0
23,50,-174,4,-425,-3446,0,0
-59,506,-69,238,-364,-3396,0,0
-222,160,69,58,-531,-3405,0,0
-328,-543,158,-175,-379,-3640,0,0
-332,-817,242,-380,-226,-3318,0,0
-202,-367,275,-441,-323,-2769,0,0
-240,55,266,-177,-132,-2930,0,0
-339,-210,255,-202,59,-2575,0,0
-426,-73,290,-264,-65,-3013,0,0
-484,-194,331,-361,-157,-3326,0,0
-501,-340,277,-635,-193,-3532,0,0
-345,-100,198,-664,122,-4281,0,0
-77,49,187,-634,67,-4260,0,0
160,-112,128,-599,332,-4619,0,0
367,-88,80,-492,491,-4622,0,0
482,72,85,-488,464,-4494,0,0
499,621,99,-190,450,-4402,0,0
314,592,81,-70,462,-3983,0,0
-45,400,8,268,427,-3451,0,0
-563,230,-29,80,755,-2884,0,0
-1200,138,-52,640,2073,-1255,0,0
-2442,326,-81,1111,3984,540,0,0
-3967,1215,-37,-206,6160,-954,0,0
-5068,1215,-357,110,9728,243,0,0
-6514,835,-746,-1092,14327,-740,0,0
-7215,1222,-1222,-915,18458,-1013,0,0
-6956,1961,-2029,-12,19508,-1621,0,0
-6126,2509,-2638,536,15990,-2007,0,0
-5021,2198,-2832,2624,10091,-1827,0,0
-4502,493,-2428,1295,5187,-2027,0,0
-4042,1393,-1978,-331,4042,-2398,0,0
-3232,3332,-2648,786,5273,-2183,0,0
-2804,3526,-3972,3460,4577,-3696,0,0
-2109,917,-4148,5437,1092,-4992,0,0
-1279,-771,-2126,4217,373,-3676,0,0
-592,-24,-832,4603,1133,-3695,0,0
149,433,-351,5487,859,-3544,0,0
545,-506,555,4361,1058,-3484,0,0
876,-556,1485,3276,1425,-3141,0,0
1494,-542,2204,3338,2464,-3503,0,0
2738,-425,3242,603,8887,-3951,0,0
4997,2904,5398,2661,18566,-3286,0,0
6596,1118,8879,3804,32767,-1751,0,0
8416,-2535,10445,1377,32121,-44,0,0
8040,-4317,8202,102,23892,2965,0,0
6475,-5324,3585,-2313,16336,1846,0,0
